"var.names","mean","2.5%","97.5%","Rhat","actual.val","p.yr","mu.v.yr","r","case","sp"
"mu.psi",0.559,0.419,0.668,1.618,0,"-0.5","-0.5","3","all","ms"
"sigma.psi.sp",0.645,0.529,0.787,1.013,0.5,"-0.5","-0.5","3","all","ms"
"mu.psi.yr",0.231,0.117,0.334,1.159,0,"-0.5","-0.5","3","all","ms"
"sigma.psi.yr",0.135,0.021,0.266,1.153,0.2,"-0.5","-0.5","3","all","ms"
"mu.p",-2.251,-2.383,-2.084,1.116,-0.5,"-0.5","-0.5","3","all","ms"
"sigma.p.sp",0.37,0.311,0.46,1.015,NA,"-0.5","-0.5","3","all","ms"
"p.yr",-0.901,-1.027,-0.766,1.178,-0.5,"-0.5","-0.5","3","all","ms"
"sigma.p.site",1.595,1.539,1.647,1.011,1.5,"-0.5","-0.5","3","all","ms"
"per_chage_bci",8.07780696919155,4.37579382638456,11.6220024030333,NA,0,"-0.5","-0.5","3","all","ms"
"mu.psi",0.39,0.242,0.559,1.556,0,"-0.5","0","3","all","ms"
"sigma.psi.sp",0.732,0.604,0.896,1.018,0.5,"-0.5","0","3","all","ms"
"mu.psi.yr",0.032,-0.083,0.155,1.03,0,"-0.5","0","3","all","ms"
"sigma.psi.yr",0.305,0.21,0.419,1.014,0.2,"-0.5","0","3","all","ms"
"mu.p",-2.06,-2.151,-1.948,1.058,-0.5,"-0.5","0","3","all","ms"
"sigma.p.sp",0.271,0.217,0.339,0.999,NA,"-0.5","0","3","all","ms"
"p.yr",-0.373,-0.468,-0.264,1.069,-0.5,"-0.5","0","3","all","ms"
"sigma.p.site",1.525,1.481,1.584,1.021,1.5,"-0.5","0","3","all","ms"
"per_chage_bci",1.2725830620227,-3.55087003927477,6.33969095972069,NA,0,"-0.5","0","3","all","ms"
"mu.psi",0.395,0.28,0.515,1.092,0,"-1","-0.5","3","all","ms"
"sigma.psi.sp",0.486,0.39,0.587,1.018,0.5,"-1","-0.5","3","all","ms"
"mu.psi.yr",0.307,0.168,0.457,1.17,0,"-1","-0.5","3","all","ms"
"sigma.psi.yr",0.263,0.146,0.391,1.072,0.2,"-1","-0.5","3","all","ms"
"mu.p",-2.184,-2.323,-2.065,1.159,-0.5,"-1","-0.5","3","all","ms"
"sigma.p.sp",0.325,0.262,0.422,1.006,NA,"-1","-0.5","3","all","ms"
"p.yr",-1.304,-1.443,-1.173,1.043,-1,"-1","-0.5","3","all","ms"
"sigma.p.site",1.601,1.544,1.66,1.006,1.5,"-1","-0.5","3","all","ms"
"per_chage_bci",11.8902563559856,6.70395920304418,17.4364396656784,NA,0,"-1","-0.5","3","all","ms"
