"var.names","mean","2.5%","97.5%","Rhat","actual.val","mu.psi.yr","mu.v.yr","r","case","sp"
"sigma.psi.yr",0.465,0.225,0.704,1.014,0.2,"0.5","-0.5","2","all","ms"
"mu.p",-2.218,-2.337,-2.116,1.021,-0.5,"0.5","-0.5","2","all","ms"
"sigma.p.sp",0.288,0.24,0.34,1.002,NA,"0.5","-0.5","2","all","ms"
"p.yr",-0.908,-1.056,-0.792,1.011,-0.5,"0.5","-0.5","2","all","ms"
"sigma.p.site",1.591,1.535,1.644,1.02,1.5,"0.5","-0.5","2","all","ms"
"per_chage_bci",34.9308794140789,27.8631741156731,42.8190818080323,NA,24.4918662403709,"0.5","-0.5","2","all","ms"
"mu.psi",0.485,0.336,0.618,1.219,0,"0.5","0","2","all","ms"
"sigma.psi.sp",0.635,0.518,0.799,1.015,0.5,"0.5","0","2","all","ms"
"mu.psi.yr",0.647,0.507,0.794,1.004,0.5,"0.5","0","2","all","ms"
"sigma.psi.yr",0.341,0.206,0.47,1.042,0.2,"0.5","0","2","all","ms"
"mu.p",-2.058,-2.174,-1.937,1.031,-0.5,"0.5","0","2","all","ms"
"sigma.p.sp",0.307,0.252,0.372,1,NA,"0.5","0","2","all","ms"
"p.yr",-0.42,-0.532,-0.31,1.008,-0.5,"0.5","0","2","all","ms"
"sigma.p.site",1.506,1.462,1.557,1.047,1.5,"0.5","0","2","all","ms"
"per_chage_bci",22.1745325086605,16.6873800635817,27.9937952472794,NA,24.4918662403709,"0.5","0","2","all","ms"
"mu.psi",0.526,0.37,0.698,1.071,0,"1","-0.5","2","all","ms"
"sigma.psi.sp",0.645,0.534,0.805,1.007,0.5,"1","-0.5","2","all","ms"
"mu.psi.yr",1.793,1.59,2.018,1.129,1,"1","-0.5","2","all","ms"
"sigma.psi.yr",0.321,0.073,0.581,1.068,0.2,"1","-0.5","2","all","ms"
"mu.p",-2.172,-2.278,-2.045,1.012,-0.5,"1","-0.5","2","all","ms"
"sigma.p.sp",0.268,0.22,0.33,0.999,NA,"1","-0.5","2","all","ms"
"p.yr",-0.78,-0.893,-0.674,1.054,-0.5,"1","-0.5","2","all","ms"
"sigma.p.site",1.641,1.583,1.698,1.003,1.5,"1","-0.5","2","all","ms"
"per_chage_bci",44.8828563320596,38.8833903597755,51.7016964006114,NA,46.211715726001,"1","-0.5","2","all","ms"
"mu.psi",0.592,0.421,0.752,1.079,0,"1","0","2","all","ms"
"sigma.psi.sp",0.738,0.614,0.906,1.008,0.5,"1","0","2","all","ms"
"mu.psi.yr",1.062,0.933,1.192,1.053,1,"1","0","2","all","ms"
"sigma.psi.yr",0.156,0.004,0.364,1.13,0.2,"1","0","2","all","ms"
"mu.p",-2.269,-2.368,-2.136,1.031,-0.5,"1","0","2","all","ms"
